StimOnset,Dir
15570,270
19022,45
22592,112.5
26095,225
29431,180
32783,157.5
36203,67.5
39572,202.5
42891,0
46261,315
49813,292.5
52916,337.5
56085,247.5
59404,90
62974,22.5
66476,135
69612,247.5
72748,337.5
76051,202.5
79453,90
82639,45
86175,315
89294,180
92547,112.5
95933,157.5
99069,67.5
102271,292.5
105691,225
108793,0
112112,135
115565,270
118734,22.5
122137,225
125273,202.5
128675,135
132195,45
135614,112.5
139084,67.5
142553,337.5
145906,180
149041,247.5
152427,22.5
155763,292.5
159066,157.5
162385,270
165771,315
169007,90
172126,0
175345,67.5
178498,157.5
181600,225
184853,247.5
188389,337.5
191925,45
195294,112.5
198397,270
201499,90
204652,135
207788,22.5
211024,315
214176,180
217695,0
221131,202.5
224584,292.5
227870,202.5
231239,112.5
234392,157.5
237678,90
240947,0
244183,67.5
247319,135
250538,225
253624,22.5
256960,247.5
260129,270
263331,292.5
266417,337.5
269570,315
272889,45
276008,180
279444,292.5
282997,315
286499,67.5
289835,270
293271,0
296724,22.5
300244,157.5
303813,225
307149,45
310502,180
313754,247.5
317157,135
320309,90
323712,337.5
327232,112.5
330684,202.5
333787,247.5
337156,337.5
340342,135
343594,67.5
347064,315
350183,22.5
353285,112.5
356371,225
359674,180
363193,292.5
366512,0
369765,157.5
373334,202.5
376454,270
379673,90
383042,45
386178,292.5
389314,315
392483,90
395919,270
399055,247.5
402224,67.5
405693,157.5
408896,22.5
412082,45
415484,202.5
418987,180
422423,0
425809,225
429078,112.5
432548,135
436017,337.5
439153,315
442255,337.5
445524,292.5
448644,112.5
452130,180
455683,90
459135,0
462404,135
465924,45
469026,270
472512,67.5
475965,225
479334,22.5
482904,202.5
486090,157.5
489209,247.5
492562,157.5
495864,22.5
499317,67.5
502820,180
506005,270
509525,90
512878,45
516297,202.5
519649,225
523152,337.5
526338,315
529541,112.5
533093,0
536463,292.5
539782,135
543185,247.5
546637,90
549990,45
553443,225
556595,337.5
559714,112.5
562883,247.5
566420,292.5
569722,0
573208,135
576544,157.5
580064,270
583583,315
586836,22.5
590355,67.5
593641,180
597177,202.5
